EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,
Ticker,Short Name,Market Cap,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M
KAPSTON IN Equity,KAPSTON SERVICES,6077306945.10,6077306945.10,299.55,,14.90,906308000.00
TRUECOLO IN Equity,TRUE COLORS LTD,6065031600.00,6065031600.00,246.00,,,2336562000.00
DREAMFOL IN Equity,DREAMFOLKS SERVI,6061577596.98,6061577596.98,113.79,9.24,-70.87,12918820000.00
TEJASCAR IN Equity,TEJAS CARGO INDI,6044888520.00,6044888520.00,253.00,31.59,,5012930000.00
SHVK IN Equity,SHIVALIK RASAYAN,6044202568.75,6044202568.75,383.75,36.20,-49.83,3095519000.00
NAHARPOL IN Equity,NAHAR POLY FILMS,5999469804.00,5999469804.00,244.00,16.50,-6.13,6659373000.00
MEN IN Equity,MENON BEARINGS,5970501600.00,5970501600.00,106.54,23.94,-8.88,2392780000.00
IEIL IN Equity,INTEGRA ENGINEER,5967607726.60,5967607726.60,173.35,32.22,-27.65,1590626000.00
SOLARIUM IN Equity,SOLARIUM GREEN E,5950475840.00,5950475840.00,285.40,24.50,,2300764000.00
JDP IN Equity,SHRI JAGDAMBA,5944054600.00,5944054600.00,678.70,12.36,-10.47,4814781000.00
DIGISPIC IN Equity,DIGISPICE TECHNO,5938772537.10,5938772537.10,25.35,,-20.38,4484755000.00
SGRL IN Equity,SHREE GANESH REM,5936613007.23,5936613007.23,445.05,24.78,-29.89,1085965000.00
WORKMATE IN Equity,WORKMATES,5927791380.00,5927791380.00,458.85,,,1076450000.00
VSKI IN Equity,VISAKA INDS LTD,5921318202.80,5921318202.80,68.53,,-22.59,15282020000.00
PYRAMID IN Equity,PYRAMID TECHNOPL,5906535336.00,5906535336.00,160.57,22.14,-22.33,5913355000.00
DCL IN Equity,DELTON CABLES,5892048000.00,5892048000.00,681.95,28.73,-34.44,6951270000.00
GPECO IN Equity,GP ECO SOLUTIONS,5888189160.00,5888189160.00,497.70,56.24,85.88,2464348000.00
BAHETI IN Equity,BAHETI RECYCLING,5885696054.50,5885696054.50,567.65,32.68,46.30,5243068000.00
KILD IN Equity,KILITCH DRUGS,5884031221.20,5884031221.20,336.60,20.72,5.45,1972398000.00
PMS IN Equity,PANCHMAHAL STEEL,5872309666.20,5872309666.20,307.80,176.90,25.74,3831011000.00
SHRIAHIM IN Equity,SHRI AHIMSA NATU,5862854130.00,5862854130.00,251.30,38.43,,550894000.00
HLV IN Equity,HLV LTD,5841042705.14,5841042705.14,8.86,22.15,-51.77,2033109000.00
APTR IN Equity,APTECH LTD,5837403502.88,5837403502.88,100.64,30.59,-42.93,4601010000.00
ADCIC IN Equity,ADC INDIA COMMUN,5828200000.00,5828200000.00,1267.00,23.83,-20.38,1871017000.00
GBP IN Equity,GANESH BENZOPLST,5819624793.64,5819624793.64,80.84,15.28,-38.97,3743110000.00
DBEIL IN Equity,DEEPAK BUILDERS,5799317070.00,5799317070.00,124.50,8.87,-35.05,5817938000.00
ARCM IN Equity,ARYAMAN CAP MKT,5791539277.30,5791539277.30,483.55,16.67,125.96,864297000.00
KAYA IN Equity,KAYA LTD,5767494517.75,5767494517.75,379.75,,10.54,2171683000.00
SJLOGIST IN Equity,SJ LOGISTICS IND,5758628101.50,5758628101.50,376.55,10.53,-40.97,5024895000.00
RMPH IN Equity,RAMA PHOSPHATES,5752888555.68,5752888555.68,162.96,42.22,71.22,7436908000.00
EFFWA IN Equity,EFFWA INFRA & RE,5741654774.35,5741654774.35,248.05,28.55,-0.82,1851193000.00
SEMLTD IN Equity,SUNRISE EFFICIEN,5738420000.00,5738420000.00,299.50,36.93,83.80,1291017000.00
SICALLOG IN Equity,SICAL LOGISTICS,5728216733.20,5728216733.20,87.79,,-38.93,2218200000.00
RKSWAMY IN Equity,R K SWAMY LTD,5727652536.27,5727652536.27,113.47,30.67,-57.12,2942865000.00
WMP IN Equity,WIM PLAST LTD,5701596000.00,5701596000.00,475.00,9.98,-19.25,3670849000.00
SCHAND IN Equity,S CHAND AND CO L,5699986227.20,5699986227.20,161.60,8.96,-22.50,7161990000.00
SRL IN Equity,SPECIALITY RESTA,5699525231.12,5699525231.12,118.16,26.20,-15.56,4362490000.00
PRIMO IN Equity,PRIMO CHEMICALS,5685371941.20,5685371941.20,23.46,156.40,-36.80,5555581000.00
RADIANTC IN Equity,RADIANT CASH MAN,5681128915.44,5681128915.44,53.24,12.22,-25.97,4271470000.00
TARACHAN IN Equity,TARA CHAND INFRA,5674604551.00,5674604551.00,71.99,22.85,19.41,2478180000.00
LKML IN Equity,LAKSHMI MILL CO,5672210250.00,5672210250.00,8155.00,,14.17,2631627000.00
TECHLABS IN Equity,TRIDENT TECHLABS,5669053045.20,5669053045.20,328.05,49.26,-74.92,765729000.00
INLC IN Equity,INDIAN LINK CHN,5662707500.00,5662707500.00,2116.90,96.75,853.56,0.00
MOS IN Equity,MOS UTILITY LTD,5660378022.00,5660378022.00,22.70,49.78,-17.47,2079416000.00
ZEEN IN Equity,ZEE MEDIA CORPOR,5647620980.40,5647620980.40,9.03,,-50.03,6219150000.00
ENIL IN Equity,ENTERTAINMENT NE,5623202153.40,5623202153.40,117.96,48.76,-32.97,5397955000.00
PRAKPIPE IN Equity,PRAKASH PIPES LT,5601917690.34,5601917690.34,234.21,6.74,-53.65,7804800000.00
EMIN IN Equity,EMPIRE INDS LTD,5601898132.70,5601898132.70,933.65,16.26,-26.14,5505634000.00
MBLINFRA IN Equity,MBL INFRASTRUCTU,5594773110.08,5594773110.08,36.68,1.91,-43.03,1283201000.00
COMSYN IN Equity,COMMERCIAL SYN B,5583319950.00,5583319950.00,139.75,32.58,76.13,3478195000.00
SIIN IN Equity,SIL INVESTMENTS,5581899048.00,5581899048.00,526.80,18.05,-20.88,548177000.00
DAVANGER IN Equity,DAVANGERE SUGAR,5576964112.20,5576964112.20,3.90,34.61,-23.95,2149853000.00
OWAIS IN Equity,OWAIS METAL AND,5573814106.90,5573814106.90,306.55,11.85,-69.99,2134106000.00
BTLI IN Equity,BATLIBOI LTD,5573233054.20,5573233054.20,118.60,41.18,-8.49,4106388000.00
FI IN Equity,FOODS & INNS LTD,5550879720.64,5550879720.64,75.61,12.64,-33.90,9920772000.00
SWARAJ IN Equity,SWARAJ SUITING P,5549702433.00,5549702433.00,252.05,24.83,12.47,3195884000.00
MRZI IN Equity,MIRZA INTERNATIO,5529458019.00,5529458019.00,40.01,,5.48,5479400000.00
GLOTTIS IN Equity,GLOTTIS LTD,5523851340.00,5523851340.00,59.78,,,9411730000.00
ECM IN Equity,ABM KNOWLEDGEWAR,5521607310.00,5521607310.00,276.05,38.38,55.60,966665000.00
HSENSEX IN Equity,HDFC BSE SNS ETF,5520556413.70,5520556413.70,96.37,,10.71,
KIRV IN Equity,KIRAN VYAPAR LTD,5510046411.45,5510046411.45,201.95,9.05,-24.39,1133594000.00
POCE IN Equity,POCL ENTERPRISES,5505590552.85,5505590552.85,178.95,16.00,-15.06,14500973000.00
ICV IN Equity,INTL CONVEYORS,5499395830.00,5499395830.00,86.77,6.00,4.75,1512628000.00
AEPL IN Equity,ARTEMIS ELECTRIC,5497708110.00,5497708110.00,21.90,73.00,-18.63,723477000.00
ORIENTCE IN Equity,ORIENT CERATECH,5496224848.00,5496224848.00,45.94,55.35,-10.79,3261135000.00
INFLUX IN Equity,INFLUX HEALTHTEC,5484329760.00,5484329760.00,236.90,,,1048536000.00
PDIGI IN Equity,PANACHE DIGILIFE,5465329200.00,5465329200.00,358.90,89.26,26.36,1161135900.00
SUTJ IN Equity,SUTLEJ TEXTILES,5453854759.80,5453854759.80,33.29,,-50.03,26246700000.00
UTSSAV IN Equity,UTSSAV CZ GOLD J,5451940200.00,5451940200.00,228.90,19.68,-21.37,6463188000.00
TOLINS IN Equity,TOLINS TYRES LTD,5434439704.05,5434439704.05,137.55,12.65,-29.99,2924480000.00
PNDL IN Equity,PANSARI DEVELOPE,5419848420.00,5419848420.00,310.65,,62.73,43051815.00
NIPL IN Equity,NIMBUS PROJECTS,5409245800.00,5409245800.00,280.00,,27.10,15112000.00
HTML IN Equity,HT MEDIA LTD,5391026130.84,5391026130.84,23.16,289.50,0.65,17329400000.00
MISHF IN Equity,MISHTANN FOODS L,5388064515.00,5388064515.00,5.00,1.62,-30.94,13753040000.00
EPML IN Equity,EMAMI PAPER MILL,5372315640.00,5372315640.00,88.80,20.65,-17.90,19280400000.00
RBZJEWEL IN Equity,RBZ JEWELLERS LT,5371200000.00,5371200000.00,134.28,13.84,-30.85,5301485000.00
GVKP IN Equity,GVK POWER & INFR,5369315360.00,5369315360.00,3.40,0.95,-29.90,8021600000.00
VELJ IN Equity,VELJAN DENISON L,5361300000.00,5361300000.00,1191.40,22.60,-1.29,1556994000.00
SREE IN Equity,SREELEATHERS LTD,5361079928.36,5361079928.36,231.53,23.75,-8.69,2199271000.00
MNAT IN Equity,MODI NATURALS LT,5352498193.25,5352498193.25,402.25,17.25,-23.94,6380709000.00
SIGMA IN Equity,SIGMA SOLVE LTD,5348409959.20,5348409959.20,52.04,28.02,61.14,761723000.00
BCFR IN Equity,BELLA CASA FASHI,5340943125.00,5340943125.00,398.95,32.10,-21.97,3485205000.00
HERCULES IN Equity,HERCULES INVESTM,5324800000.00,5324800000.00,166.40,15.58,-23.84,1786284000.00
PTLE IN Equity,PTL ENTERPRIESES,5301698850.00,5301698850.00,40.05,14.62,0.65,643411000.00
PARSV IN Equity,PARSVNATH DEVEL,5296154838.90,5296154838.90,12.17,,-47.41,2524553000.00
EIFFL IN Equity,EURO INDIA FRESH,5287856000.00,5287856000.00,213.22,94.35,5.55,1437400000.00
SHSF IN Equity,SHARAT INDUSTRIE,5282186549.70,5282186549.70,134.70,44.31,79.19,3805348000.00
DNI IN Equity,DONEAR INDS LTD,5268120000.00,5268120000.00,101.31,16.53,-33.93,9136978000.00
VINL IN Equity,VERITAS INDIA LT,5262803000.00,5262803000.00,196.30,4.63,-77.35,40990468000.00
CDFH IN Equity,CONSOLIDATED FIN,5260469539.18,5260469539.18,162.73,11.32,-22.24,516900000.00
PREVEST IN Equity,PREVEST DENPRO L,5257914150.00,5257914150.00,438.05,28.95,-25.51,630281000.00
GAPI IN Equity,GUJARAT APOLLO,5255720000.00,5255720000.00,445.40,223.82,34.46,415495000.00
RMDA IN Equity,ADVANI HOTELS,5253279955.00,5253279955.00,56.83,19.87,-15.45,980912000.00
TPPL IN Equity,TPL PLASTECH LTD,5234781330.00,5234781330.00,67.11,22.22,-32.32,3493351000.00
TECHD IN Equity,TECHD CYBERSECUR,5233943166.75,5233943166.75,699.75,,,297952000.00
SUPREMEP IN Equity,SUPREME POWER EQ,5218148988.00,5218148988.00,208.80,28.06,-13.59,1487170000.00
IGCL IN Equity,INDOGULF CROPSCI,5212818552.65,5212818552.65,82.45,12.78,,5904210000.00
SYSTANGO IN Equity,SYSTANGO TECHNOL,5197889280.00,5197889280.00,354.35,21.90,42.08,671444000.00
BMWVENTL IN Equity,BMW VENTURES LTD,5190759900.00,5190759900.00,59.86,,,
OPI IN Equity,ORIENT PAPER,5183691813.86,5183691813.86,24.43,,-33.85,8806288000.00
VKTI IN Equity,VIKRAM THERMO,5181884712.50,5181884712.50,165.25,61.66,-4.69,1262306000.00
OEX IN Equity,ORBIT EXPORTS,5181074435.36,5181074435.36,195.43,13.26,-13.60,2177754000.00
SHP IN Equity,SHALIMAR PAINTS,5178373471.08,5178373471.08,61.86,,-50.87,5973000000.00
MDCB IN Equity,MEDICAMEN BIOTEC,5168788796.50,5168788796.50,381.10,72.72,-25.41,1625472000.00
DBOL IN Equity,DHAMPUR BIO ORGA,5149021480.40,5149021480.40,77.56,35.10,-30.73,26929800000.00
SARVESH IN Equity,SARVESHWAR FOODS,5136076640.42,5136076640.42,4.18,15.72,-49.80,11362287000.00
KRONOX IN Equity,KRONOX LAB SCIEN,5108107680.00,5108107680.00,137.67,20.06,-30.87,1001939000.00
MAN1DRL IN Equity,MA-NIF-1D RT-LIQ,5076690673.83,5076690673.83,999.99,,1.58,
CPEDU IN Equity,CAREER POINT EDU,5075829981.00,5075829981.00,279.00,27.19,,496631000.00
CAPP IN Equity,CAPTAIN POLYPLAS,5066979194.50,5066979194.50,84.55,14.95,-28.34,2868434000.00
HIGH IN Equity,HIGH ENERGY BATT,5060087680.00,5060087680.00,564.50,33.01,-7.02,807522000.00
ANNAPURN IN Equity,ANNAPURNA SWADIS,5055694000.00,5055694000.00,231.70,23.38,-40.49,4079706000.00
ABSMARIN IN Equity,ABS MARINE SERVI,5041342500.00,5041342500.00,205.35,17.95,2.50,1798521000.00
IIRM IN Equity,IIRM HOLDINGS IN,5029045650.00,5029045650.00,73.80,660.76,-39.95,36500000.00
BROS IN Equity,BLACK ROSE IND,5028600000.00,5028600000.00,98.60,23.99,-19.34,3903235000.00
SUNITATO IN Equity,SUNITA TOOLS LTD,5028530000.00,5028530000.00,823.00,98.36,2.41,300830000.00
RMC IN Equity,RMC SWITCHGEARS,5024441640.00,5024441640.00,477.30,15.75,-57.04,3181603000.00
MADHUV IN Equity,MADHUVEER COM 18,5020991570.00,5020991570.00,205.10,,-25.68,43923000.00
THOM IN Equity,THOMAS SCOTT IND,4995264390.00,4995264390.00,340.50,33.69,-26.19,1610322000.00
BCCL IN Equity,BHATIA COLOUR CH,4994017360.40,4994017360.40,353.20,118.13,46.07,1250326000.00
INFI IN Equity,INDIA FINSEC LTD,4991783265.00,4991783265.00,171.00,37.03,14.04,711510210.00
MAHSTEC IN Equity,MA-HANGSENG-TECH,4990018544.00,4990018544.00,25.76,,39.17,
IPC IN Equity,INVEST & PRECIS,4989500000.00,4989500000.00,498.95,82.40,5.37,1625483000.00
TTFLTD IN Equity,TRIDENT TEXOFAB,4980093224.40,4980093224.40,332.10,179.39,97.44,1220562000.00
SAYAJIHO IN Equity,SAYAJI HOTELS,4968974176.05,4968974176.05,283.65,240.38,-14.52,1382762000.00
TAKE IN Equity,TAKE SOLUTIONS,4958747680.00,4958747680.00,33.52,670.40,108.33,0.00
UCIL IN Equity,UNIFINZ CAPITAL,4958025520.00,4958025520.00,560.00,11.54,33.74,1213532000.00
MJS IN Equity,MUNJAL SHOWA LTD,4951780950.00,4951780950.00,123.81,17.15,-12.62,12504473000.00
SURAJ IN Equity,SURAJ LTD,4947288540.00,4947288540.00,269.40,37.21,-47.98,2310461000.00
HGG IN Equity,HALDYN GLASS LTD,4943006332.00,4943006332.00,91.96,26.27,-36.67,3816000000.00
ESFL IN Equity,ESSEN SPECIALITY,4939243104.00,4939243104.00,198.85,42.22,-70.65,1730037000.00
XTGLOBAL IN Equity,XTGLOBAL LTD,4928445364.50,4928445364.50,36.90,49.72,-6.08,2341392000.00
WSI IN Equity,WS INDS INDIA,4910238298.18,4910238298.18,76.82,,-34.39,2390400000.00
FRATELLI IN Equity,FRATELLI VINEYAR,4909877074.30,4909877074.30,113.45,,-66.03,3020966000.00
KNAGRI IN Equity,KN AGRI RESOURCE,4909785924.00,4909785924.00,196.40,13.38,-25.89,17911700000.00
MGEL IN Equity,MANGALAM GLOBAL,4900491772.00,4900491772.00,14.87,20.65,4.37,22814762000.00
PSA IN Equity,PASUPATI ACRYLON,4895191005.32,4895191005.32,54.92,13.83,27.37,6214318000.00
LBS IN Equity,LIBERTY SHOES,4886220000.00,4886220000.00,286.75,36.03,-40.32,6746557000.00
GSLSU IN Equity,GLOBAL SURFACES,4873061433.64,4873061433.64,114.98,,-31.79,2076440000.00
SBGLP IN Equity,SURATWWALA BUSIN,4866065306.40,4866065306.40,28.06,4.41,-78.36,356281000.00
CGRAPHIC IN Equity,CREATIVE GRAPHIC,4855985700.00,4855985700.00,199.95,,-8.05,2510800000.00
POOJAENT IN Equity,VASHU BHAGNANI I,4842559020.00,4842559020.00,75.72,67.01,-41.10,159904000.00
MCLR IN Equity,MCLEOD RUSSEL,4831077743.75,4831077743.75,46.25,,5.19,11854057000.00
JBP IN Equity,JENBURKT PHARMAC,4824619560.00,4824619560.00,1093.20,15.05,-8.79,1513653000.00
PCCL IN Equity,PETRO CARBON AND,4820205000.00,4820205000.00,195.15,50.94,-7.42,2959712000.00
PRTM IN Equity,PRECOT LTD,4817400000.00,4817400000.00,401.45,9.30,-28.24,8310301000.00
AVONMORE IN Equity,AVONMORE CAPITAL,4805606139.23,4805606139.23,17.03,14.31,-4.75,1801700000.00
PAKKA IN Equity,PAKKA LTD,4792815903.00,4792815903.00,106.63,11.90,-65.71,4060408000.00
SWISSMLT IN Equity,SWISS MILITARY C,4791388764.90,4791388764.90,20.31,50.77,-40.05,2183391000.00
ZODIAC IN Equity,ZODIAC ENERGY LT,4786647885.00,4786647885.00,316.50,23.93,-37.19,4077772000.00
KOTITETF IN Equity,KOTAK NFY IT ETF,4783406460.00,4783406460.00,42.42,,-8.62,
HMVL IN Equity,HINDUSTAN MEDIA,4779810034.24,4779810034.24,64.88,6.14,-29.29,6855000000.00
OWF IN Equity,NAHAR INDUSTRIAL,4776376979.55,4776376979.55,110.55,25.83,-19.32,15300840000.00
MAXVOLT IN Equity,MAXVOLT ENERGY I,4754112608.00,4754112608.00,436.00,,,483715000.00
OCCLLTD IN Equity,OCCL LTD,4753785278.20,4753785278.20,95.17,22.18,-6.00,3067335000.00
FOCUS IN Equity,FOCUS LIGHTING &,4746049502.75,4746049502.75,70.57,11.88,-45.81,2238110000.00
WICL IN Equity,WELSP INV & COMM,4732911867.60,4732911867.60,1295.10,127.85,43.84,52018000.00
MZC IN Equity,MAZDA LTD,4715687250.00,4715687250.00,235.49,18.98,-20.57,1932640000.00
NLSC IN Equity,NECTAR LIFESCIEN,4698267321.50,4698267321.50,20.95,,-46.25,11695514000.00
DPVBETF IN Equity,DSP NI PVTBK ETF,4693858463.00,4693858463.00,29.17,,17.05,
PSTITANI IN Equity,PROPSHARE TITANI,4689562000.00,4689562000.00,1051000.00,,,395090000.00
TATNETF IN Equity,TATA NFY 50 EC T,4687149207.50,4687149207.50,282.05,,11.38,
SHSC IN Equity,SUKHJIT STARCH,4681913400.00,4681913400.00,149.85,11.72,-43.44,14979467000.00
DICI IN Equity,DIC INDIA LTD,4679442474.60,4679442474.60,509.80,23.95,-22.85,8815289000.00
MOSTNDX IN Equity,MOTILAL OSWAL NA,4677166292.60,4677166292.60,234.58,,9.51,
CONNPLEX IN Equity,CONNPLEX CINEMAS,4675680000.00,4675680000.00,244.80,,,882026000.00
CYBT IN Equity,CYBERTECH SYS,4673324621.16,4673324621.16,150.12,13.38,-23.46,2358969000.00
PRPF IN Equity,PREMIER POLYFILM,4668372110.75,4668372110.75,44.57,17.97,-39.24,2632257000.00
KNP IN Equity,KANPUR PLASTIPK,4658358584.48,4658358584.48,200.56,39.25,61.69,6262402000.00
SUBAM IN Equity,SUBAM PAPERS LTD,4648974000.00,4648974000.00,200.00,17.30,40.40,5391671000.00
UGSW IN Equity,UGAR SUGAR WORKS,4638375000.00,4638375000.00,41.23,,-40.13,13298295000.00
NAPEROL IN Equity,NAPEROL INVESTME,4635242850.00,4635242850.00,806.55,43.93,-33.13,195715000.00
MODISON IN Equity,MODISON LTD,4627370198.06,4627370198.06,152.38,20.02,-17.98,4902408000.00
BRRL IN Equity,B-RIGHT REALESTA,4618046400.00,4618046400.00,447.00,272.56,3.00,1034314000.00
NL IN Equity,NILE LTD,4613470015.00,4613470015.00,1536.85,12.69,-18.46,9195825000.00
QLL IN Equity,QUALITEK LABS LT,4602552245.00,4602552245.00,395.00,29.68,7.67,702269000.00
HCLI IN Equity,HCL INFOSYSTEMS,4599062694.16,4599062694.16,13.97,,-8.39,246127000.00
NEETUYOS IN Equity,NEETU YOSHI LTD,4593471210.00,4593471210.00,118.35,20.27,,705912000.00
GLOBAL IN Equity,GLOBAL EDUCATION,4593351360.00,4593351360.00,90.24,16.29,28.23,722805000.00
EUROBOND IN Equity,EURO PANEL PRODU,4566555000.00,4566555000.00,186.39,31.27,-4.37,3952254000.00
CLEDU IN Equity,CL EDUCATE LTD,4551559034.52,4551559034.52,83.94,,-26.35,4780198000.00
KTP IN Equity,KOTHARI PRODUCTS,4548205026.00,4548205026.00,76.20,13.99,-22.63,9923700000.00
CHANDRIM IN Equity,CHANDRIMA MERCAN,4547763675.00,4547763675.00,13.65,623.49,142.68,291930000.00
GTTDATA IN Equity,GTT DATA SOLUTIO,4545421959.22,4545421959.22,74.59,,-17.13,161284000.00
HILINFRA IN Equity,HIGHWAY INFRASTR,4536329974.00,4536329974.00,63.25,,,4957150000.00
GICL IN Equity,GLOBE INTERNATIO,4534160814.00,4534160814.00,40.50,257.14,63.64,354002000.00
EFACTOR IN Equity,E FACTOR EXPERIE,4514085000.20,4514085000.20,344.90,22.37,28.28,1715537000.00
BFSI IN Equity,MA-FIN-SER-ETF,4511337733.00,4511337733.00,28.81,,19.20,
MTEK IN Equity,MOLD-TEK TECH,4488413486.76,4488413486.76,155.82,36.58,-20.33,1458490000.00
PURPLEUT IN Equity,PURPLE UNITED SA,4486335130.00,4486335130.00,466.85,34.35,143.47,1031275000.00
UNIHEALT IN Equity,UNIHEALTH HOSPIT,4473686056.00,4473686056.00,290.50,37.87,97.62,487500000.00
ALBRT IN Equity,ALBERT DAVID LTD,4471846785.10,4471846785.10,783.55,26.00,-40.63,3457680000.00
MEDICO IN Equity,MEDICO REMEDIES,4467028720.00,4467028720.00,53.83,44.12,-2.04,1486624000.00
NCFS IN Equity,NAHAR CAPITAL,4448619263.55,4448619263.55,265.65,8.93,-14.63,464889000.00
RNSP IN Equity,SHREE RAMA NEWSP,4446314044.48,4446314044.48,30.14,,65.79,441321000.00
CLN IN Equity,CLN ENERGY LTD,4442918250.00,4442918250.00,421.00,26.53,,2191796000.00
INDIAHOM IN Equity,INDIA HOMES LTD,4438602313.75,4438602313.75,11.15,,118.63,75000.00
LORDSCHL IN Equity,LORDS CHLORO ALK,4420539532.14,4420539532.14,175.74,71.44,3.19,2702223000.00
PROV IN Equity,PROVENTUS AGROCO,4411764480.00,4411764480.00,1280.00,60.14,-23.43,5815596000.00
SING IN Equity,SINGER INDIA LTD,4410837260.06,4410837260.06,71.54,59.62,-11.67,4308573000.00
GOELCONS IN Equity,GOEL CONSTRUCTIO,4407128000.00,4407128000.00,305.00,2.17,,5891118000.00
MBOXX IN Equity,MONEYBOXX FINANC,4405963712.00,4405963712.00,134.72,345.44,-42.89,1989447000.00
FG IN Equity,FORBES & CO LTD,4402942571.60,4402942571.60,341.35,15.04,-27.02,1992283000.00
MTCS IN Equity,MUTHOOT CAP SERV,4400537454.15,4400537454.15,267.55,9.62,-19.84,4716531000.00
RBMINFRA IN Equity,RBM INFRACON LTD,4397835900.00,4397835900.00,435.30,14.92,-40.39,3217458000.00
NAND IN Equity,NANDAN DENIM LTD,4396488624.00,4396488624.00,3.05,13.13,-36.98,35466756000.00
VNYL IN Equity,VINYL CHEMICALS,4384769982.32,4384769982.32,239.12,19.65,-28.41,5968650000.00
ALLETEC IN Equity,ALL E TECHNOLOGI,4374058521.60,4374058521.60,216.60,14.51,-58.26,1399673000.00
GOLDKART IN Equity,GOLDKART JEWELS,4362512465.00,4362512465.00,259.90,131.26,26.84,823516000.00
TRACXN IN Equity,TRACXN TECHNOLOG,4357979195.82,4357979195.82,40.94,,-46.87,844673000.00
SOFTTECH IN Equity,SOFTTECH ENGINEE,4341586583.70,4341586583.70,313.65,312.32,-40.17,952499000.00
SYSTEMAT IN Equity,SYSTEMATIC INDUS,4337843758.50,4337843758.50,194.25,,,4462172000.00
SRD IN Equity,SHANKAR LAL RAMP,4333749345.00,4333749345.00,67.75,38.06,-20.92,4017843000.00
BMH IN Equity,BEMCO HYDRAULICS,4328353980.00,4328353980.00,98.97,34.53,46.23,1001170000.00
UVS IN Equity,UVS HOSPITALITY,4326162080.00,4326162080.00,120.80,23.92,-29.05,1013697000.00
MKVENTUR IN Equity,MKVENTURES CAPIT,4320998662.50,4320998662.50,1124.25,45.53,-38.04,252026000.00
RNITAI IN Equity,RNIT AI SOLUTION,4319990714.08,4319990714.08,57.76,2.80,,322259000.00
NA IN Equity,NIKHIL ADHESIVE,4318642000.00,4318642000.00,94.00,25.61,-20.81,5845875000.00
SINCLAIR IN Equity,SINCLAIRS HOTELS,4315579400.00,4315579400.00,84.19,30.84,-31.01,534237000.00
MIRANAL IN Equity,MA NIF 200 ALP30,4294630772.00,4294630772.00,25.64,,-2.92,
PDP IN Equity,PRADEEP METALS,4290731500.00,4290731500.00,248.45,15.79,-3.94,3118613000.00
SEALMATI IN Equity,SEALMATIC INDIA,4289698025.00,4289698025.00,395.00,26.96,-13.43,1009696000.00
JKIPL IN Equity,JINKUSHAL INDUST,4285796900.00,4285796900.00,111.65,,,3119197500.00
SMPX IN Equity,SIMPLEX CASTINGS,4265283556.95,4265283556.95,548.65,25.65,70.39,1718836000.00
PBL IN Equity,PLASTIBLENDS LTD,4255991392.00,4255991392.00,163.76,12.72,-32.17,7804535000.00
EO IN Equity,AMINA EHREUM ETP,4244956440.90,4244956440.90,437.15,,45.21,1594790000.00
TANKUP IN Equity,TANKUP ENGINEERS,4244472000.00,4244472000.00,801.60,85.82,,194185000.00
PATILAUT IN Equity,PATIL AUTOMATION,4239781440.00,4239781440.00,194.30,,,1180513000.00
MEGATHER IN Equity,MEGATHERM INDUCT,4239164025.00,4239164025.00,225.00,19.89,-30.37,3205084000.00
RGVS IN Equity,RAGHUVIR SYNTHET,4237312500.00,4237312500.00,109.35,47.13,-32.25,3325683000.00
BHIL IN Equity,BHAGYANAGAR INDI,4236777900.00,4236777900.00,132.42,30.23,36.74,16256051000.00
KAP IN Equity,KRITI INDUS IND,4236231440.00,4236231440.00,80.39,,-48.04,7211697000.00
ARIE IN Equity,ARIES AGRO,4236163429.25,4236163429.25,325.75,12.45,12.33,6222172000.00
VRAJ IN Equity,VRAJ IRON & STEE,4213199751.06,4213199751.06,127.74,8.95,-41.72,4750310000.00
GEE IN Equity,GEE LTD,4210131492.00,4210131492.00,81.00,,14.25,3338350000.00
ANDP IN Equity,ANDHRA PETROCHEM,4191649028.00,4191649028.00,49.33,,-33.68,5018875000.00
MANORG IN Equity,MANGALAM ORGANIC,4181159608.00,4181159608.00,488.20,33.19,11.06,5300090000.00
SPCENET IN Equity,SPACENET ENTERPR,4177845571.68,4177845571.68,7.38,33.55,-61.88,1570542000.00
ATMASTCO IN Equity,ATMASTCO LTD,4171505468.50,4171505468.50,168.65,21.62,-38.23,2895704000.00
CHEMBOND IN Equity,CHEMBOND CHEMICA,4170852040.32,4170852040.32,155.07,,,0.00
SRGHFL IN Equity,SRG HOUSING FINA,4164558925.80,4164558925.80,265.35,15.56,-25.90,1522284000.00
STOV IN Equity,STOVEC INDS LTD,4163086300.80,4163086300.80,1993.80,32.12,-34.51,2345700000.00
LEHAR IN Equity,LEHAR FOOTWEARS,4158053524.80,4158053524.80,235.20,49.43,-6.75,1942604000.00
BIRCB IN Equity,BIRLA CABLE LTD,4151400000.00,4151400000.00,138.38,84.90,-34.83,6616523000.00
